Title,Year,Genre,Origin,Director,Star
Eternal Sunshine of the Spotless Mind,2004,Romance,USA,Michel Gondry,Jim Carrey
A Clockwork Orange,1971,Drama,USA,Stanley Kubrick,Malcolm McDowell
3 Idiots,2009,Drama,India,Rajkumar Hirani,Aamir Khan
2001: A Space Odyssey,1968,Adventure,USA,Stanley Kubrick,Keir Dullea
Le fabuleux destin d'Amélie Poulain,2001,Comedy,France,Jean-Pierre Jeunet,Audrey Tautou
Toy Story,1995,Comedy,USA,John Lasseter,Tom Hanks
Double Indemnity,1944,Drama,USA,Billy Wilder,Fred MacMurray
Taxi Driver,1976,Drama,USA,Martin Scorsese,Robert De Niro
Singin' in the Rain,1952,Comedy,USA,Stanley Donen,Gene Kelly
Inglourious Basterds,2009,War,USA,Quentin Tarantino,Brad Pitt
Full Metal Jacket,1987,Drama,USA,Stanley Kubrick,Matthew Modine
To Kill a Mockingbird,1962,Drama,USA,Robert Mulligan,Gregory Peck
Ladri di biciclette,1948,Drama,Italy,Vittorio De Sica,Lamberto Maggiorani
The Kid,1921,Drama,USA,Charles Chaplin,Charles Chaplin
The Sting,1973,Drama,USA,George Roy Hill,Paul Newman
Good Will Hunting,1997,Romance,USA,Gus Van Sant,Robin Williams
Toy Story 3,2010,Comedy,USA,Lee Unkrich,Tom Hanks
Jagten,2012,Drama,Sweden,Thomas Vinterberg,Mads Mikkelsen
Snatch,2000,Comedy,USA,Guy Ritchie,Jason Statham
Scarface,1983,Drama,USA,Brian De Palma,Al Pacino
Monty Python and the Holy Grail,1975,Comedy,UK,Terry Gilliam,Graham Chapman
Per qualche dollaro in più,1965,Western,West Germany,Sergio Leone,Clint Eastwood
L.A. Confidential,1997,Drama,USA,Curtis Hanson,Kevin Spacey
The Apartment,1960,Romance,USA,Billy Wilder,Jack Lemmon
Metropolis,1927,Drama,Germany,Fritz Lang,Brigitte Helm
Jodaeiye Nader az Simin,2011,Drama,Iran,Asghar Farhadi,Payman Maadi
Indiana Jones and the Last Crusade,1989,Adventure,USA,Steven Spielberg,Harrison Ford
Rashômon,1950,Drama,Japan,Akira Kurosawa,Toshirô Mifune
Up,2009,Adventure,USA,Pete Docter,Edward Asner
All About Eve,1950,Drama,USA,Joseph L. Mankiewicz,Bette Davis
Batman Begins,2005,Adventure,USA,Christopher Nolan,Christian Bale
Yôjinbô,1961,Drama,Japan,Akira Kurosawa,Toshirô Mifune
Some Like It Hot,1959,Comedy,USA,Billy Wilder,Marilyn Monroe
Unforgiven,1992,Western,USA,Clint Eastwood,Clint Eastwood
Der Untergang,2004,Drama,Italy,Oliver Hirschbiegel,Bruno Ganz
Die Hard,1988,Action,USA,John McTiernan,Bruce Willis
The Treasure of the Sierra Madre,1948,Western,USA,John Huston,Humphrey Bogart
Heat,1995,Drama,USA,Michael Mann,Al Pacino
Ikiru,1952,Drama,Japan,Akira Kurosawa,Takashi Shimura
Incendies,2010,Drama,Canada,Denis Villeneuve,Lubna Azabal
Raging Bull,1980,Drama,USA,Martin Scorsese,Robert De Niro
The Great Escape,1963,Thriller,USA,John Sturges,Steve McQueen
Bacheha-Ye aseman,1997,Drama,Iran,Majid Majidi,Mohammad Amir Naji
El laberinto del fauno,2006,Drama,Mexico,Guillermo del Toro,Ivana Baquero
Babam ve Oglum,2005,Drama,Turkey,Çagan Irmak,Çetin Tekindor
Chinatown,1974,Drama,USA,Roman Polanski,Jack Nicholson
The Third Man,1949,Thriller,UK,Carol Reed,Orson Welles
Bohemian Rhapsody,2018,Drama,USA,Bryan Singer,Rami Malek
Tonari no Totoro,1988,Fantasy,Japan,Hayao Miyazaki,Hitoshi Takagi
Hauru no ugoku shiro,2004,Adventure,Japan,Hayao Miyazaki,Chieko Baishô
Ran,1985,Drama,Japan,Akira Kurosawa,Tatsuya Nakadai
Judgment at Nuremberg,1961,Drama,USA,Stanley Kramer,Spencer Tracy
El secreto de sus ojos,2009,Thriller,Argentina,Juan José Campanella,Ricardo Darín
The Gold Rush,1925,Drama,USA,Charles Chaplin,Charles Chaplin
The Bridge on the River Kwai,1957,War,USA,David Lean,William Holden
